Edad,qx,origen,px,lx,dx,Lx,Tx,ex,qx_ref,ex_ref,dif_qx_pct,dif_ex_pct
51,0.003971818566897537,Graduación,0.9960281814331025,9295954.664897632,36921.845335078186,9277493.742230093,278020207.4944155,29.907655266892064,0.02537782,20.33075971861434,-84.34925235147251,47.10544849688701
52,0.004157979389624843,Graduación,0.9958420206103752,9259032.819562554,38498.8676316011,9239783.385746755,268742713.75218546,29.024922903867868,0.02658361,19.847125404651,-84.3588610063688,46.24245230529018
53,0.004383689591173151,Graduación,0.9956163104088268,9220533.951930953,40419.95871013836,9200323.972575884,259502930.3664387,28.14402416598595,0.02778798,19.375487615994423,-84.22451149319544,45.255823872804726
54,0.004706623996375135,Graduación,0.9952933760036249,9180113.993220814,43207.34480995225,9158510.320815839,250302606.3938628,27.265740553843052,0.02896646,18.914990997534083,-83.75146981586589,44.14884235153822
55,0.004951256793507422,Graduación,0.9950487432064926,9136906.648410862,45239.171114587414,9114287.062853567,241144096.07304695,26.392312557443933,0.03023407,18.46432022063222,-83.62358493743176,42.93682216338998
56,0.005185490008553989,Graduación,0.994814509991446,9091667.477296274,47144.75086461508,9068095.101863967,232029809.0101934,25.521149952923224,0.03130672,18.024387859895448,-83.43649539602363,41.5923256384656
57,0.005454218735958904,Graduación,0.9945457812640411,9044522.72643166,49330.805312309676,9019857.323775506,222961713.90832943,24.651573184370186,0.03230843,17.59074990165664,-83.11827985464194,40.13941032751867
58,0.005893015104790713,Graduación,0.9941069848952093,8995191.921119351,53008.80186164773,8968687.520188527,213941856.58455393,23.7840235606592,0.033239,17.161360738790606,-82.27078099584611,38.59054606840755
59,0.006425691906885993,Graduación,0.993574308093114,8942183.119257703,57459.71369930677,8913453.26240805,204973169.0643654,22.922050055420957,0.03410416,16.734208598392573,-81.15862725577762,36.97719805896745
60,0.007140304582843047,Graduación,0.9928596954171569,8884723.405558396,63439.631250001505,8853003.589933395,196059715.80195734,22.067059023953394,0.03568219,16.307411240525248,-79.98916382979002,35.319203633713194
61,0.007804310001134682,Graduación,0.9921956899988653,8821283.774308395,68844.03318268209,8786861.757717054,187206712.21202394,21.222161875945467,0.03646622,15.892325306659272,-78.59852213600784,33.53717260653395
62,0.008491880494025094,Graduación,0.991508119505975,8752439.741125712,74324.67231279548,8715277.404969316,178419850.4543069,20.385156108639382,0.03722138,15.47486837115277,-77.18547648146014,31.73072377558989
63,0.009608205440272828,Graduación,0.9903917945597271,8678115.068812918,83381.11241548188,8636424.512605175,169704573.0493376,19.555464718279143,0.03796311,15.053802359209815,-74.69067881879849,29.903822646610223
64,0.011681051677747991,Graduación,0.988318948322252,8594733.956397435,100395.53150117389,8544536.190646848,161068148.5367324,18.74032975934553,0.03870763,14.62811256043395,-69.82235368647476,28.111741565581656
65,0.014764538163195558,Graduación,0.9852354618368044,8494338.42489626,125414.98384547929,8431630.93297352,152523612.34608555,17.955914247429845,0.04007493,14.196998542112581,-63.157669487643375,26.476833776992976
